"","tidak","ya"
"1",0.848484848484849,0.151515151515152
"2",0.15625,0.84375
"3",0.15625,0.84375
"4",0.848484848484849,0.151515151515152
"5",0.848484848484849,0.151515151515152
"6",0.15625,0.84375
"7",0.15625,0.84375
"8",0.15625,0.84375
"9",0.848484848484849,0.151515151515152
"10",0.15625,0.84375
"11",0.15625,0.84375
"12",0.848484848484849,0.151515151515152
"13",0.15625,0.84375
"14",0.15625,0.84375
"15",0.848484848484849,0.151515151515152
"16",0.15625,0.84375
"17",0.848484848484849,0.151515151515152
"18",0.848484848484849,0.151515151515152
"19",0.848484848484849,0.151515151515152
"20",0.848484848484849,0.151515151515152
"21",0.848484848484849,0.151515151515152
"22",0.15625,0.84375
"23",0.15625,0.84375
"24",0.15625,0.84375
"25",0.848484848484849,0.151515151515152
"26",0.15625,0.84375
"27",0.15625,0.84375
"28",0.848484848484849,0.151515151515152
"29",0.848484848484849,0.151515151515152
"30",0.848484848484849,0.151515151515152
"31",0.15625,0.84375
"32",0.15625,0.84375
"33",0.15625,0.84375
"34",0.848484848484849,0.151515151515152
"35",0.15625,0.84375
"36",0.848484848484849,0.151515151515152
"37",0.848484848484849,0.151515151515152
"38",0.848484848484849,0.151515151515152
"39",0.848484848484849,0.151515151515152
"40",0.848484848484849,0.151515151515152
"41",0.15625,0.84375
"42",0.15625,0.84375
"43",0.848484848484849,0.151515151515152
"44",0.848484848484849,0.151515151515152
"45",0.848484848484849,0.151515151515152
"46",0.15625,0.84375
"47",0.848484848484849,0.151515151515152
"48",0.15625,0.84375
"49",0.15625,0.84375
"50",0.848484848484849,0.151515151515152
